CONTAMINANTE,Fecha,HORA,DGO_IPN,DGO_SRN,DGO_ITD 
CO,01/01/2018,1, ,3.3, 
CO,01/01/2018,2,3.2,3.2, 
CO,01/01/2018,3,2.9,3.2, 
CO,01/01/2018,4,2.8,3.2, 
CO,01/01/2018,5,2.8,3.3, 
CO,01/01/2018,6,2.8,3.2, 
CO,01/01/2018,7,2.9,3.1, 
CO,01/01/2018,8,3.2,3.1, 
CO,01/01/2018,9,3.1,3.1, 
CO,01/01/2018,10,3.1,3.1, 
CO,01/01/2018,11,3.1,3.3, 
CO,01/01/2018,12,3.2,3.3, 
CO,01/01/2018,13,3.2,3.3, 
CO,01/01/2018,14,3.2,3.3, 
CO,01/01/2018,15,3,3.3, 
CO,01/01/2018,16,3.1,3.2, 
CO,01/01/2018,17,3.1,3.2, 
CO,01/01/2018,18,3.1,3.2, 
CO,01/01/2018,19,3.1,3.1, 
CO,01/01/2018,20,3.1,3.1, 
CO,01/01/2018,21,3.8,3.3, 
CO,01/01/2018,22,4.5,3.3, 
CO,01/01/2018,23,4.1,3.2, 
CO,01/01/2018,24,4.3,3.1, 
CO,02/01/2018,1,3.5,3.1, 
CO,02/01/2018,2,3,3, 
CO,02/01/2018,3,2.9,3, 
CO,02/01/2018,4,2.9,2.9, 
CO,02/01/2018,5,2.9,2.9, 
CO,02/01/2018,6,2.9,2.9, 
CO,02/01/2018,7,3,2.9, 
CO,02/01/2018,8,3.3,2.9, 
CO,02/01/2018,9,3.2,2.9, 
CO,02/01/2018,10,3.1,3, 
CO,02/01/2018,11,3.1,3, 
CO,02/01/2018,12,3.1,3.1, 
CO,02/01/2018,13,3,3.1, 
CO,02/01/2018,14,3,3.3, 
CO,02/01/2018,15,2.9,3.3, 
CO,02/01/2018,16,2.9,3.2, 
CO,02/01/2018,17,2.9,3.1, 
CO,02/01/2018,18,2.9,3, 
CO,02/01/2018,19,2.9,3, 
CO,02/01/2018,20,3,3, 
CO,02/01/2018,21,3.6,3, 
CO,02/01/2018,22,4.7,3, 
CO,02/01/2018,23,4.2,2.9, 
CO,02/01/2018,24, ,2.9, 
CO,03/01/2018,1, ,3, 
CO,03/01/2018,2,3,3, 
CO,03/01/2018,3,3.3,3, 
CO,03/01/2018,4,4,3, 
CO,03/01/2018,5,3.2,2.9, 
CO,03/01/2018,6,3.2,2.9, 
CO,03/01/2018,7,3.1,2.9, 
CO,03/01/2018,8,3.1,2.9, 
CO,03/01/2018,9,3.1,3, 
CO,03/01/2018,10,3.5,3.2, 
CO,03/01/2018,11,3.2,3.2, 
CO,03/01/2018,12,3.1,3.3, 
CO,03/01/2018,13,3.1,3.3, 
CO,03/01/2018,14,3.3,3.3, 
CO,03/01/2018,15,3.4,3.3, 
CO,03/01/2018,16,3.9,3.2, 
CO,03/01/2018,17,4.3,3.2, 
CO,03/01/2018,18,4.4,3.2, 
CO,03/01/2018,19,3.8,3.2, 
CO,03/01/2018,20,3.3,3.2, 
CO,03/01/2018,21,3.1,3.3, 
CO,03/01/2018,22,3,3.3, 
CO,03/01/2018,23,3,3.4, 
CO,03/01/2018,24,3,3.4, 
CO,04/01/2018,1,3,3.4, 
CO,04/01/2018,2,2.9,3.2, 
CO,04/01/2018,3,3.2,3.1, 
CO,04/01/2018,4,3.3,3, 
CO,04/01/2018,5,3.4,3, 
CO,04/01/2018,6,3.3,2.9, 
CO,04/01/2018,7,3.1,2.9, 
CO,04/01/2018,8,3,2.9, 
CO,04/01/2018,9,3.1,3, 
CO,04/01/2018,10,3.2,3.2, 
CO,04/01/2018,11,3.1,3.2, 
CO,04/01/2018,12,3,3.2, 
CO,04/01/2018,13,3.1,3.3, 
CO,04/01/2018,14,3,3.4, 
CO,04/01/2018,15,3.3,3.4, 
CO,04/01/2018,16,3.9,3.2, 
CO,04/01/2018,17,4.1,3.1, 
CO,04/01/2018,18,4.4,3.1, 
CO,04/01/2018,19,3.9,3, 
CO,04/01/2018,20,3.1,3, 
